Temp, logg, [Fe/H], Alpha, Band, Resolution, vsini, Sampling, Quality, Cond. 1, Cond. 2, Cond. 3, correct flag
 4000, 4.5,  0.0, 0.0, Z,  75k,  1.0, 3.0,   4936,   6.7,  11.4,   7.0, 0
 4000, 4.5,  0.0, 0.0, Z,  75k,  5.0, 3.0,   2917,  11.3,  19.4,  11.8, 0
 4000, 4.5,  0.0, 0.0, Z,  75k, 10.0, 3.0,   1583,  20.8,  34.8,  21.5, 0
 4000, 4.5,  0.0, 0.0, Y,  75k,  1.0, 3.0,   5525,   6.5,   7.8,   6.6, 0
 4000, 4.5,  0.0, 0.0, Y,  75k,  5.0, 3.0,   2860,  12.6,  15.1,  12.8, 0
 4000, 4.5,  0.0, 0.0, Y,  75k, 10.0, 3.0,   1333,  27.0,  32.6,  27.4, 0
 4000, 4.5,  0.0, 0.0, J,  75k,  1.0, 3.0,   2835,  10.9,  30.7,  11.4, 0
 4000, 4.5,  0.0, 0.0, J,  75k,  5.0, 3.0,   1720,  17.9,  55.6,  18.8, 0
 4000, 4.5,  0.0, 0.0, J,  75k, 10.0, 3.0,    954,  32.1, 111.2,  33.8, 0
 4000, 4.5,  0.0, 0.0, H,  75k,  1.0, 3.0,   5505,   5.3,   8.8,   5.4, 0
 4000, 4.5,  0.0, 0.0, H,  75k,  5.0, 3.0,   3514,   8.2,  13.8,   8.5, 0
 4000, 4.5,  0.0, 0.0, H,  75k, 10.0, 3.0,   1907,  15.2,  25.4,  15.6, 0
 4000, 4.5,  0.0, 0.0, K,  75k,  1.0, 3.0,   4334,   7.1,  32.8,   7.6, 0
 4000, 4.5,  0.0, 0.0, K,  75k,  5.0, 3.0,   2549,  12.1,  53.5,  12.9, 0
 4000, 4.5,  0.0, 0.0, K,  75k, 10.0, 3.0,   1299,  23.7,  95.6,  25.3, 0
 4000, 4.5,  0.0, 0.0, Z, 100k,  1.0, 3.0,   6157,   4.7,   8.0,   4.8, 0
 4000, 4.5,  0.0, 0.0, Z, 100k,  5.0, 3.0,   3140,   9.1,  15.6,   9.5, 0
 4000, 4.5,  0.0, 0.0, Z, 100k, 10.0, 3.0,   1627,  17.6,  29.4,  18.2, 0
 4000, 4.5,  0.0, 0.0, Y, 100k,  1.0, 3.0,   7321,   4.3,   5.1,   4.3, 0
 4000, 4.5,  0.0, 0.0, Y, 100k,  5.0, 3.0,   3132,  10.0,  11.9,  10.1, 0
 4000, 4.5,  0.0, 0.0, Y, 100k, 10.0, 3.0,   1386,  22.5,  27.1,  22.8, 0
 4000, 4.5,  0.0, 0.0, J, 100k,  1.0, 3.0,   3514,   7.6,  20.6,   8.0, 0
 4000, 4.5,  0.0, 0.0, J, 100k,  5.0, 3.0,   1848,  14.4,  44.3,  15.2, 0
 4000, 4.5,  0.0, 0.0, J, 100k, 10.0, 3.0,    979,  27.1,  92.9,  28.5, 0
 4000, 4.5,  0.0, 0.0, H, 100k,  1.0, 3.0,   6468,   3.9,   6.5,   4.0, 0
 4000, 4.5,  0.0, 0.0, H, 100k,  5.0, 3.0,   3768,   6.7,  11.2,   6.8, 0
 4000, 4.5,  0.0, 0.0, H, 100k, 10.0, 3.0,   1959,  12.8,  21.4,  13.1, 0
 4000, 4.5,  0.0, 0.0, K, 100k,  1.0, 3.0,   5246,   5.1,  23.5,   5.5, 0
 4000, 4.5,  0.0, 0.0, K, 100k,  5.0, 3.0,   2760,   9.7,  42.9,  10.3, 0
 4000, 4.5,  0.0, 0.0, K, 100k, 10.0, 3.0,   1338,  19.9,  80.4,  21.3, 0
 3900, 4.5,  0.0, 0.0, Z,  75k,  1.0, 3.0,   4912,   6.7,  11.5,   7.0, 0
 3900, 4.5,  0.0, 0.0, Z,  75k,  5.0, 3.0,   2869,  11.5,  19.7,  12.0, 0
 3900, 4.5,  0.0, 0.0, Z,  75k, 10.0, 3.0,   1547,  21.3,  35.5,  22.1, 0
 3900, 4.5,  0.0, 0.0, Y,  75k,  1.0, 3.0,   5661,   6.4,   7.6,   6.4, 0
 3900, 4.5,  0.0, 0.0, Y,  75k,  5.0, 3.0,   2902,  12.4,  14.8,  12.6, 0
 3900, 4.5,  0.0, 0.0, Y,  75k, 10.0, 3.0,   1342,  26.8,  32.2,  27.2, 0
 3900, 4.5,  0.0, 0.0, J,  75k,  1.0, 3.0,   2805,  11.0,  30.3,  11.5, 0
